class,f1_score,precision,recall,support
Philonthus micans,0.76,1.0,0.61,18.0
Quedius nitipennis,0.64,0.89,0.5,16.0
Acylophorus glaberrimus,0.92,0.86,1.0,12.0
Medon apicalis,0.73,0.61,0.92,12.0
Leptacinus formicetorum,0.94,0.89,1.0,8.0
Gyrohypnus fracticornis,0.77,0.62,1.0,15.0
Gabrius keysianus,0.77,1.0,0.62,8.0
Tetartopeus quadratus,0.93,0.89,0.97,35.0
Philonthus salinus,1.0,1.0,1.0,13.0
Philonthus albipes,0.82,0.74,0.93,30.0
Leptacinus intermedius,0.71,0.62,0.83,6.0
Staphylinus dimidiaticornis,0.53,0.36,1.0,4.0
Euryporus picipes,1.0,1.0,1.0,8.0
Philonthus nitidus,1.0,1.0,1.0,32.0
Quedius boopoides,0.71,0.62,0.83,6.0
Tasgius ater,0.92,1.0,0.86,7.0
Leptacinus batychrus,0.62,1.0,0.45,22.0
Gabrius austriacus,0.53,0.38,0.83,6.0
Philonthus decorus,0.92,0.93,0.91,45.0
Quedius fumatus,0.83,0.92,0.75,16.0
Xantholinus linearis,0.67,1.0,0.5,12.0
Philonthus atratus,0.84,0.85,0.82,34.0
Phacophallus parumpunctatus,0.77,0.71,0.83,6.0
Gabrius exiguus,0.0,0.0,0.0,3.0
Remus sericeus,1.0,1.0,1.0,24.0
Platydracus stercorarius,1.0,1.0,1.0,10.0
Emus hirtus,1.0,1.0,1.0,4.0
Philonthus sanguinolentus,0.94,1.0,0.88,17.0
Neobisnius villosulus,0.92,1.0,0.86,7.0
Gabronthus thermarum,1.0,1.0,1.0,5.0
Quedius fulgidus,0.91,0.83,1.0,5.0
Philonthus ebeninus,0.86,0.75,1.0,6.0
Bisnius puella,0.88,0.78,1.0,7.0
Quedius lucidulus,0.86,0.8,0.94,17.0
Othius subuliformis,0.74,0.62,0.91,11.0
Philonthus laminatus,0.92,0.97,0.88,34.0
Quedius umbrinus,0.77,0.71,0.85,20.0
Ochthephilum collare,0.67,1.0,0.5,2.0
Ocypus fuscatus,0.86,1.0,0.75,8.0
Leptacinus pusillus,0.67,0.5,1.0,6.0
Lathrobium fovulum,0.91,0.93,0.9,29.0
Quedius brevis,0.93,1.0,0.88,8.0
Paederus littoralis,0.99,1.0,0.97,38.0
Achenium humile,0.94,0.89,1.0,8.0
Paederus fuscipes,0.97,0.93,1.0,28.0
Quedius truncicola,0.89,0.8,1.0,4.0
Quedius puncticollis,0.91,0.88,0.94,16.0
Quedius microps,0.98,0.95,1.0,21.0
Quedius longicornis,0.97,0.94,1.0,15.0
Quedius simplicifrons,0.78,0.64,1.0,7.0
Astenus pulchellus,0.88,0.78,1.0,25.0
Quedius mesomelinus,0.8,1.0,0.67,15.0
Dinothenarus pubescens,1.0,1.0,1.0,8.0
Xantholinus tricolor,0.97,0.93,1.0,14.0
Philonthus cognatus,0.88,0.95,0.81,70.0
Rugilus orbiculatus,0.89,0.85,0.93,59.0
Erichsonius cinerascens,0.96,0.97,0.94,36.0
Medon castaneus,1.0,1.0,1.0,9.0
Gabrius splendidulus,0.82,0.72,0.95,19.0
Platydracus latebricola,0.89,1.0,0.8,5.0
Rugilus rufipes,0.99,0.98,1.0,49.0
Creophilus maxillosus,1.0,1.0,1.0,9.0
Lathrobium elongatum,0.85,0.93,0.79,48.0
Philonthus micantoides,0.89,0.8,1.0,4.0
Xantholinus longiventris,0.67,0.53,0.91,11.0
Lathrobium pallidum,0.9,0.82,1.0,9.0
Sunius melanocephalus,0.93,1.0,0.87,23.0
Quedius molochinus,0.89,0.92,0.86,14.0
Gabrius trossulus,0.91,0.83,1.0,10.0
Heterothops dissimilis,0.0,0.0,0.0,7.0
Philonthus intermedius,0.84,0.81,0.87,15.0
Philonthus alpinus,0.33,0.5,0.25,4.0
Quedius picipes,0.88,0.85,0.92,12.0
Lathrobium impressum,0.97,0.98,0.96,54.0
Philonthus discoideus,0.83,0.71,1.0,20.0
Quedius nigriceps,1.0,1.0,1.0,9.0
Atrecus longiceps,0.91,0.83,1.0,5.0
Quedius curtipennis,0.55,0.75,0.43,7.0
Bisnius fimetarius,0.78,0.93,0.67,60.0
Lathrobium dilutum,0.33,0.25,0.5,2.0
micro avg,0.84,0.84,0.84,3381.0
