class,f1_score,precision,recall,support
Quedius puncticollis,0.9,0.93,0.88,16.0
Quedius scintillans,0.82,0.88,0.78,18.0
Quedius scitus,0.95,0.9,1.0,9.0
Quedius semiaeneus,0.89,0.89,0.89,9.0
Quedius simplicifrons,0.88,0.78,1.0,7.0
Quedius suturalis,0.94,0.89,1.0,16.0
Quedius truncicola,0.89,0.8,1.0,4.0
Quedius umbrinus,0.86,0.94,0.8,20.0
Quedius xanthopus,0.93,0.9,0.95,20.0
Remus sericeus,1.0,1.0,1.0,24.0
Rugilus erichsoni,0.92,0.93,0.9,31.0
Rugilus orbiculatus,0.95,0.95,0.95,59.0
Rugilus rufipes,0.99,0.98,1.0,49.0
Scopaeus laevigatus,1.0,1.0,1.0,2.0
Scopaeus minutus,0.89,0.89,0.89,19.0
Scopaeus sulcicollis,0.88,0.88,0.88,17.0
Staphylinus caesareus,0.67,0.75,0.6,5.0
Staphylinus dimidiaticornis,0.8,0.67,1.0,4.0
Staphylinus erythropterus,0.93,1.0,0.88,8.0
Sunius bicolor,0.87,0.81,0.94,18.0
Sunius melanocephalus,0.88,0.95,0.83,23.0
Tasgius ater,1.0,1.0,1.0,7.0
Tasgius globulifer,0.73,0.67,0.8,5.0
Tasgius melanarius,0.86,0.9,0.82,11.0
Tasgius morsitans,1.0,1.0,1.0,9.0
Tetartopeus quadratus,0.96,0.94,0.97,35.0
Tetartopeus terminatus,0.96,0.96,0.96,45.0
Velleius dilatatus,0.91,0.83,1.0,5.0
Xantholinus dvoraki,0.8,0.75,0.86,7.0
Xantholinus gallicus,0.0,0.0,0.0,2.0
Xantholinus laevigatus,0.73,0.8,0.67,6.0
Xantholinus linearis,0.75,0.75,0.75,12.0
Xantholinus longiventris,0.75,0.69,0.82,11.0
Xantholinus tricolor,0.93,0.93,0.93,14.0
micro avg,0.88,0.88,0.88,3381.0
