class,f1_score,precision,recall,support
Staphylinus dimidiaticornis,1.0,1.0,1.0,3.0
Euryporus picipes,1.0,1.0,1.0,7.0
Philonthus nitidus,0.98,1.0,0.97,32.0
Quedius boopoides,0.44,0.67,0.33,6.0
Tasgius ater,1.0,1.0,1.0,7.0
Leptacinus batychrus,0.98,1.0,0.95,22.0
Gabrius austriacus,0.57,1.0,0.4,5.0
Philonthus decorus,1.0,1.0,1.0,44.0
Quedius fumatus,1.0,1.0,1.0,15.0
Xantholinus linearis,0.88,0.85,0.92,12.0
Philonthus atratus,0.95,1.0,0.91,33.0
Phacophallus parumpunctatus,0.92,0.86,1.0,6.0
Gabrius exiguus,1.0,1.0,1.0,3.0
Remus sericeus,0.96,0.92,1.0,24.0
Platydracus stercorarius,0.9,0.82,1.0,9.0
Emus hirtus,1.0,1.0,1.0,4.0
Philonthus sanguinolentus,0.97,0.94,1.0,16.0
Neobisnius villosulus,0.83,1.0,0.71,7.0
Gabronthus thermarum,1.0,1.0,1.0,5.0
Quedius fulgidus,0.89,1.0,0.8,5.0
Philonthus ebeninus,1.0,1.0,1.0,6.0
Bisnius puella,0.92,1.0,0.86,7.0
Quedius lucidulus,0.94,0.94,0.94,17.0
Othius subuliformis,0.77,0.67,0.91,11.0
Philonthus laminatus,0.96,0.92,1.0,34.0
Quedius umbrinus,0.87,0.89,0.85,20.0
Ochthephilum collare,0.67,1.0,0.5,2.0
Ocypus fuscatus,1.0,1.0,1.0,7.0
Leptacinus pusillus,0.91,1.0,0.83,6.0
Lathrobium fovulum,0.93,0.96,0.89,28.0
Quedius brevis,1.0,1.0,1.0,7.0
Paederus littoralis,1.0,1.0,1.0,38.0
Achenium humile,1.0,1.0,1.0,8.0
Paederus fuscipes,1.0,1.0,1.0,28.0
Quedius truncicola,1.0,1.0,1.0,4.0
Quedius puncticollis,0.91,0.88,0.94,16.0
Quedius microps,0.98,0.95,1.0,21.0
Quedius longicornis,1.0,1.0,1.0,15.0
Quedius simplicifrons,0.93,0.88,1.0,7.0
Astenus pulchellus,0.86,0.85,0.88,25.0
Quedius mesomelinus,0.79,0.72,0.87,15.0
Dinothenarus pubescens,1.0,1.0,1.0,8.0
Xantholinus tricolor,1.0,1.0,1.0,14.0
Philonthus cognatus,0.98,0.96,1.0,69.0
Rugilus orbiculatus,0.96,0.93,0.98,58.0
Erichsonius cinerascens,1.0,1.0,1.0,36.0
Medon castaneus,1.0,1.0,1.0,9.0
Gabrius splendidulus,0.95,0.95,0.95,19.0
Platydracus latebricola,1.0,1.0,1.0,5.0
Rugilus rufipes,0.99,0.98,1.0,49.0
Creophilus maxillosus,1.0,1.0,1.0,9.0
Lathrobium elongatum,0.95,0.92,0.98,47.0
Philonthus micantoides,1.0,1.0,1.0,3.0
Xantholinus longiventris,0.89,1.0,0.8,10.0
Lathrobium pallidum,0.9,0.82,1.0,9.0
Sunius melanocephalus,0.96,0.92,1.0,23.0
Quedius molochinus,0.93,0.88,1.0,14.0
Gabrius trossulus,0.95,0.91,1.0,10.0
Heterothops dissimilis,0.18,0.25,0.14,7.0
Philonthus intermedius,0.88,1.0,0.79,14.0
Philonthus alpinus,0.86,1.0,0.75,4.0
Quedius picipes,0.87,0.91,0.83,12.0
Lathrobium impressum,0.97,0.98,0.96,54.0
Philonthus discoideus,1.0,1.0,1.0,19.0
Quedius nigriceps,1.0,1.0,1.0,9.0
Atrecus longiceps,0.91,0.83,1.0,5.0
Quedius curtipennis,0.62,0.67,0.57,7.0
Bisnius fimetarius,0.92,0.9,0.93,59.0
Lathrobium dilutum,1.0,1.0,1.0,2.0
micro avg,0.92,0.92,0.92,3331.0
