Art (Niveau 1);Slægt (Niveau 2);Tribus (Niveau 3);Underfamilie (Niveau 4);Familie (Niveau 5);Overfamilie (Niveau 6);Orden (Niveau 7);Referencetekst;Den_danske_roedliste;Dansk;Autor;Dansk_navn;Familie_dk;Synonymer;Billeder;;;;;;;;;
Dinothenarus pubescens;Dinothenarus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;De Geer, 1774;;Rovbiller;;480;481;;;;;;;;
Emus hirtus;Emus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Linnaeus, 1758);Humlerovbille;Rovbiller;;486;487;;;;;;;;
Erichsonius cinerascens;Erichsonius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Gravenhorst, 1802);;Rovbiller;;208;209;210;211;212;;;;;
Euryporus picipes;Euryporus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Paykull, 1800);;Rovbiller;;573;574;;;;;;;;
Gabrius appendiculatus;Gabrius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;Sharp, 1910;;Rovbiller;subnigritulus;433;434;;;;;;;;
Gabrius austriacus;Gabrius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;Sheerpeltz, 1947;;Rovbiller;velox;431;432;;;;;;;;
Gabrius breviventer;Gabrius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Sperk, 1835);;Rovbiller;coxalus;429;430;;;;;;;;
Gabrius exiguus;Gabrius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Nordmann, 1837);;Rovbiller;;424;425;;;;;;;;
Gabrius keysianus;Gabrius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;Sharp, 1910;;Rovbiller;;435;;;;;;;;;
Gabrius nigritulus;Gabrius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Gravenhorst, 1802);;Rovbiller;;427;428;;;;;;;;
Gabrius osseticus;Gabrius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Kolenati, 1846);;Rovbiller;vernalis;420;421;;;;;;;;
Gabrius piliger;Gabrius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Fund af biller i Danmark, 2001 (Coleoptera). Entomologiske Meddelelser 70: 81-110;;Ja;Mulsant & Rey, 1876;;Rovbiller;;436;;;;;;;;;
Gabrius splendidulus;Gabrius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Gravenhorst, 1802);;Rovbiller;;422;423;;;;;;;;
Gabrius trossulus;Gabrius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Nordmann, 1837);;Rovbiller;;426;;;;;;;;;
Gabronthus thermarum;Gabronthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Aubé, 1850);;Rovbiller;;437;438;;;;;;;;
Gauropterus fulgidus;Gauropterus;Xantholinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Fabricius, 1787);;Rovbiller;;587;588;;;;;;;;
Gyrohypnus angustatus;Gyrohypnus;Xantholinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;Stephens, 1833;;Rovbiller;;619;620;;;;;;;;
Gyrohypnus atratus;Gyrohypnus;Xantholinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Heer, 1839);;Rovbiller;;604;;;;;;;;;
Gyrohypnus fracticornis;Gyrohypnus;Xantholinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Müller, 1776);;Rovbiller;;601;603;;;;;;;;
Gyrohypnus punctulatus;Gyrohypnus;Xantholinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Paykull, 1789);;Rovbiller;liebei;599;600;;;;;;;;
Heterothops binotatus;Heterothops;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Gravenhorst, 1802);;Rovbiller;;568;569;;;;;;;;
Heterothops dissimilis;Heterothops;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Gravenhorst, 1802);;Rovbiller;;621;;;;;;;;;
Heterothops minutus;Heterothops;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;Wollaston, 1860;;Rovbiller;;570;;;;;;;;;
Heterothops niger;Heterothops;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;Kraatz, 1868;;Rovbiller;;567;;;;;;;;;
