Art (Niveau 1);Slægt (Niveau 2);Tribus (Niveau 3);Underfamilie (Niveau 4);Familie (Niveau 5);Overfamilie (Niveau 6);Orden (Niveau 7);Referencetekst;Den_danske_roedliste;Dansk;Autor;Dansk_navn;Familie_dk;Synonymer;Billeder;;;;;;;;;
Paederidus ruficollis;Paederidus;Paederini;Paederinae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Fabricius, 1777);;Rovbiller;;1;2;3;4;5;;;;;
Paederus fuscipes;Paederus;Paederini;Paederinae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;Curtis, 1826;;Rovbiller;;20;21;22;23;24;;;;;
Paederus littoralis;Paederus;Paederini;Paederinae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;Gravenhorst, 1802;;Rovbiller;;14;15;16;17;18;19;;;;
Paederus riparius;Paederus;Paederini;Paederinae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Linnaeus, 1758);Giftig rovbille;Rovbiller;;6;7;8;9;10;11;12;13;;
Phacophallus parumpunctatus;Phacophallus;Xantholinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Gyllenhal, 1827);;Rovbiller;;595;596;;;;;;;;
Philonthus addendus;Philonthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;Sharp, 1867;;Rovbiller;;266;267;268;269;;;;;;
Philonthus albipes;Philonthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Gravenhorst, 1802);;Rovbiller;;324;325;326;327;;;;;;
Philonthus alpinus;Philonthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;Eppelsheim, 1875;;Rovbiller;;328;329;330;;;;;;;
Philonthus atratus;Philonthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Gravenhorst, 1802);;Rovbiller;;275;276;277;278;279;;;;;
Philonthus binotatus;Philonthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Gravenhorst, 1806);;Rovbiller;;418;419;;;;;;;;
Philonthus carbonarius;Philonthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Gravenhorst, 1802);;Rovbiller;varius;302;303;304;305;306;307;308;309;;
Philonthus cognatus;Philonthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;Stephens, 1832;;Rovbiller;fuscipennis;289;290;291;292;293;294;295;296;297;298
Philonthus concinnus;Philonthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Gravenhorst, 1802);;Rovbiller;;370;371;;;;;;;;
Philonthus confinis;Philonthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;Strand, 1941;;Rovbiller;;386;387;;;;;;;;
Philonthus corruscus;Philonthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Gravenhorst, 1802);;Rovbiller;;372;373;;;;;;;;
Philonthus corvinus;Philonthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;Erichson, 1839;;Rovbiller;;392;393;;;;;;;;
Philonthus cruentatus;Philonthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Gmelin, 1790);;Rovbiller;;391;;;;;;;;;
Philonthus debilis;Philonthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Gravenhorst, 1802);;Rovbiller;;376;377;;;;;;;;
Philonthus decorus;Philonthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Gravenhorst, 1802);;Rovbiller;;280;281;282;283;284;285;286;287;288;
Philonthus discoideus;Philonthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Gravenhorst, 1802);;Rovbiller;;394;395;;;;;;;;
Philonthus ebeninus;Philonthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Gravenhorst, 1802);;Rovbiller;;368;369;;;;;;;;
Philonthus fumarius;Philonthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Gravenhorst, 1806);;Rovbiller;;400;401;;;;;;;;
Philonthus furcifer;Philonthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;Renkonen, 1937;;Rovbiller;;408;409;;;;;;;;
Philonthus intermedius;Philonthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Lacordaire, 1835);;Rovbiller;;232;233;234;235;;;;;;
Philonthus jurgans;Philonthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;Tottenham, 1937;;Rovbiller;;389;390;;;;;;;;
Philonthus laminatus;Philonthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Creutzer, 1799);;Rovbiller;;236;237;238;239;240;241;242;;;
Philonthus lepidus;Philonthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Gravenhorst, 1802);;Rovbiller;;317;318;319;;;;;;;
Philonthus longicornis;Philonthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;Stephens, 1832;;Rovbiller;;380;381;;;;;;;;
Philonthus mannerheimi;Philonthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;Fauvel, 1869;;Rovbiller;;299;300;301;;;;;;;
Philonthus marginatus;Philonthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Müller, 1764);;Rovbiller;;312;313;314;315;316;;;;;
Philonthus micans;Philonthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Gravenhorst, 1802);;Rovbiller;;404;405;;;;;;;;
Philonthus micantoides;Philonthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;Benick & Lohse, 1956;;Rovbiller;;406;407;;;;;;;;
Philonthus nigrita;Philonthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Gravenhorst, 1806);;Rovbiller;;402;403;;;;;;;;
Philonthus nitidicollis;Philonthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Lacordaire, 1835);;Rovbiller;bimaculatus;310;311;;;;;;;;
Philonthus nitidus;Philonthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Fabricius, 1787);;Rovbiller;;244;245;246;247;248;249;250;;;
Philonthus parvicornis;Philonthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Gravenhorst, 1802);;Rovbiller;agilis;382;383;;;;;;;;
Philonthus politus;Philonthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Linnaeus, 1758);;Rovbiller;;251;252;253;254;255;256;257;258;;
Philonthus pseudovarians;Philonthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;Strand, 1941;;Rovbiller;;388;;;;;;;;;
Philonthus punctus;Philonthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Gravenhorst, 1802);;Rovbiller;;416;417;;;;;;;;
Philonthus quisquiliarius;Philonthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Gyllenhal, 1810);;Rovbiller;;398;399;;;;;;;;
Philonthus rectangulus;Philonthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;Sharp, 1874;;Rovbiller;;365;366;367;;;;;;;
Philonthus rubripennis;Philonthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;Stephens, 1832;;Rovbiller;fulvipes;410;411;;;;;;;;
Philonthus rufipes;Philonthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Stephens, 1832);;Rovbiller;immundus;374;375;;;;;;;;
Philonthus salinus;Philonthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;Kiesenwetter, 1844;;Rovbiller;;412;413;;;;;;;;
Philonthus sanguinolentus;Philonthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Gravenhorst, 1802);;Rovbiller;;378;379;;;;;;;;
Philonthus spinipes;Philonthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Rovbillen Philonthus spinipes Sharp, 1874 fundet i Danmark (Coleoptera, Staphylinidae). Entomologiske Meddelelser 61: 77-80;;Ja;Sharp, 1874;;Rovbiller;;243;;;;;;;;;
Philonthus splendens;Philonthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Fabricius, 1793);Glansrovbille;Rovbiller;;224;225;226;227;228;229;230;231;;
Philonthus succicola;Philonthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;Thomson, 1860;;Rovbiller;chalcleus;259;260;261;262;263;264;265;;;
Philonthus tenuicornis;Philonthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;Mulsant & Rey, 1853;;Rovbiller;carbonarius;270;271;272;273;274;;;;;
Philonthus umbratilis;Philonthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Gravenhorst, 1802);;Rovbiller;;338;339;340;341;342;;;;;
Philonthus varians;Philonthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Paykull, 1789);;Rovbiller;;384;385;;;;;;;;
Philonthus ventralis;Philonthus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Gravenhorst, 1802);;Rovbiller;;396;397;;;;;;;;
Platydracus chalcocephalus;Platydracus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Fabricius, 1801);;Rovbiller;;476;477;;;;;;;;
Platydracus fulvipes;Platydracus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Scopoli, 1763);;Rovbiller;;478;479;;;;;;;;
Platydracus latebricola;Platydracus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Gravenhorst, 1806);;Rovbiller;;475;;;;;;;;;
Platydracus stercorarius;Platydracus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Olivier, 1795);Almindelig guldpletrovbille;Rovbiller;;473;474;;;;;;;;
Pseudomedon obscurellus;Pseudomedon;Paederini;Paederinae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Erichson, 1840);;Rovbiller;;91;92;93;94;;;;;;
Pseudomedon obsoletus;Pseudomedon;Paederini;Paederinae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Nordmann, 1837);;Rovbiller;;88;89;90;;;;;;;
Quedius auricomus;Quedius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;Kiesenwetter, 1850;;Rovbiller;;551;552;;;;;;;;
Quedius boopoides;Quedius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;Munster, 1923;;Rovbiller;;560;;;;;;;;;
Quedius boops;Quedius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Gravenhorst, 1802);;Rovbiller;;561;;;;;;;;;
Quedius brevicornis;Quedius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Thomson, 1860);;Rovbiller;;509;510;;;;;;;;
Quedius brevis;Quedius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;Erichson, 1840;;Rovbiller;;492;;;;;;;;;
Quedius cinctus;Quedius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Paykull, 1790);;Rovbiller;;521;522;;;;;;;;
Quedius cruentus;Quedius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Olivier, 1795);;Rovbiller;;511;512;;;;;;;;
Quedius curtipennis;Quedius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;Bernhauer, 1908;;Rovbiller;;525;526;;;;;;;;
Quedius fulgidus;Quedius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Fabricius, 1793);;Rovbiller;assimilis;507;508;;;;;;;;
Quedius fuliginosus;Quedius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Gravenhorst, 1802);;Rovbiller;;523;524;;;;;;;;
Quedius fulvicollis;Quedius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Stephens, 1833);;Rovbiller;;557;;;;;;;;;
Quedius fumatus;Quedius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Stephens, 1833);;Rovbiller;;537;538;;;;;;;;
Quedius infuscatus;Quedius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;Erichson, 1840;;Rovbiller;;494;;;;;;;;;
Quedius invreae;Quedius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;Gridelli, 1924;;Rovbiller;invreai;503;504;;;;;;;;
Quedius lateralis;Quedius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Gravenhorst, 1802);;Rovbiller;;499;500;;;;;;;;
Quedius levicollis;Quedius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Brüllé, 1832);;Rovbiller;tristis;527;528;;;;;;;;
Quedius longicornis;Quedius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;Kraatz, 1857;;Rovbiller;;497;498;;;;;;;;
Quedius lucidulus;Quedius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;Erichson, 1839;;Rovbiller;;549;550;;;;;;;;
Quedius maurorufus;Quedius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Gravenhorst, 1806);;Rovbiller;;541;542;;;;;;;;
Quedius maurus;Quedius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Sahlberg, 1830);;Rovbiller;;517;518;;;;;;;;
Quedius mesomelinus;Quedius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Marsham, 1802);;Rovbiller;;513;514;;;;;;;;
Quedius microps;Quedius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;Gravenhorst, 1847;;Rovbiller;;495;496;;;;;;;;
Quedius molochinus;Quedius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Gravenhorst, 1806);;Rovbiller;picipennis;529;530;;;;;;;;
Quedius nemoralis;Quedius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;Baudi, 1848;;Rovbiller;;547;548;;;;;;;;
Quedius nigriceps;Quedius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;Kraatz, 1857;;Rovbiller;;535;536;;;;;;;;
Quedius nigrocaeruleus;Quedius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;Fauvel, 1876;;Rovbiller;;505;506;;;;;;;;
Quedius nitipennis;Quedius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Stephens, 1833);;Rovbiller;;558;559;;;;;;;;
Quedius persimilis;Quedius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;Mulsant & Rey, 1876;;Rovbiller;aridulus;562;563;;;;;;;;
Quedius picipes;Quedius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Mannerheim, 1830);;Rovbiller;;533;534;;;;;;;;
Quedius puncticollis;Quedius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Thomson, 1867);;Rovbiller;;501;502;;;;;;;;
Quedius scintillans;Quedius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Gravenhorst, 1806);;Rovbiller;;545;546;;;;;;;;
Quedius scitus;Quedius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Gravenhorst, 1806);;Rovbiller;;519;520;;;;;;;;
Quedius semiaeneus;Quedius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Stephens, 1833);;Rovbiller;;555;556;;;;;;;;
Quedius semiobscurus;Quedius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Marsham, 1802);;Rovbiller;rufipes;553;554;;;;;;;;
Quedius simplicifrons;Quedius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;Fairmaire, 1861;;Rovbiller;hispanicus;531;532;;;;;;;;
Quedius suturalis;Quedius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;Kiesenwetter, 1845;;Rovbiller;humeralis;543;544;;;;;;;;
Quedius truncicola;Quedius;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;Fairmaire & Laboulbène, 1856;;Rovbiller;ventralis;493;;;;;;;;;
