class,f1_score,precision,recall,support
Philonthus micans,0.0,0.0,0.0,18.0
Quedius nitipennis,0.0,0.0,0.0,16.0
Acylophorus glaberrimus,0.0,0.0,0.0,11.0
Medon apicalis,0.0,0.0,0.0,12.0
Leptacinus formicetorum,0.0,0.0,0.0,8.0
Gyrohypnus fracticornis,0.0,0.0,0.0,15.0
Gabrius keysianus,0.0,0.0,0.0,8.0
Tetartopeus quadratus,0.0,0.0,0.0,34.0
Philonthus salinus,0.0,0.0,0.0,13.0
Philonthus albipes,0.0,0.0,0.0,30.0
Leptacinus intermedius,0.0,0.0,0.0,5.0
Staphylinus dimidiaticornis,0.0,0.0,0.0,3.0
Euryporus picipes,0.0,0.0,0.0,7.0
Philonthus nitidus,0.0,0.0,0.0,32.0
Quedius boopoides,0.0,0.0,0.0,6.0
Tasgius ater,0.0,0.0,0.0,7.0
Leptacinus batychrus,0.0,0.0,0.0,22.0
Gabrius austriacus,0.0,0.0,0.0,5.0
Philonthus decorus,0.0,0.0,0.0,44.0
Quedius fumatus,0.0,0.0,0.0,15.0
Xantholinus linearis,0.0,0.0,0.0,12.0
Philonthus atratus,0.0,0.0,0.0,33.0
Phacophallus parumpunctatus,0.0,0.0,0.0,6.0
Gabrius exiguus,0.0,0.0,0.0,3.0
Remus sericeus,0.0,0.0,0.0,24.0
Platydracus stercorarius,0.0,0.0,0.0,9.0
Emus hirtus,0.0,0.0,0.0,4.0
Philonthus sanguinolentus,0.0,0.0,0.0,16.0
Neobisnius villosulus,0.0,0.0,0.0,7.0
Gabronthus thermarum,0.0,0.0,0.0,5.0
Quedius fulgidus,0.0,0.0,0.0,5.0
Philonthus ebeninus,0.0,0.0,0.0,6.0
Bisnius puella,0.0,0.0,0.0,7.0
Quedius lucidulus,0.0,0.0,0.0,17.0
Othius subuliformis,0.0,0.0,0.0,11.0
Philonthus laminatus,0.0,0.0,0.0,34.0
Quedius umbrinus,0.0,0.0,0.0,20.0
Ochthephilum collare,0.0,0.0,0.0,2.0
Ocypus fuscatus,0.0,0.0,0.0,7.0
Leptacinus pusillus,0.0,0.0,0.0,6.0
Lathrobium fovulum,0.0,0.0,0.0,28.0
Quedius brevis,0.0,0.0,0.0,7.0
Paederus littoralis,0.0,0.0,0.0,38.0
Achenium humile,0.0,0.0,0.0,8.0
Paederus fuscipes,0.0,0.0,0.0,28.0
Quedius truncicola,0.0,0.0,0.0,4.0
Quedius puncticollis,0.0,0.0,0.0,16.0
Quedius microps,0.0,0.0,0.0,21.0
Quedius longicornis,0.0,0.0,0.0,15.0
Quedius simplicifrons,0.0,0.0,0.0,7.0
Astenus pulchellus,0.0,0.0,0.0,25.0
Quedius mesomelinus,0.0,0.0,0.0,15.0
Dinothenarus pubescens,0.0,0.0,0.0,8.0
Xantholinus tricolor,0.0,0.0,0.0,14.0
Philonthus cognatus,0.0,0.0,0.0,69.0
Rugilus orbiculatus,0.0,0.0,0.0,58.0
Erichsonius cinerascens,0.0,0.0,0.0,36.0
Medon castaneus,0.0,0.0,0.0,9.0
Gabrius splendidulus,0.0,0.0,0.0,19.0
Platydracus latebricola,0.0,0.0,0.0,5.0
Rugilus rufipes,0.0,0.0,0.0,49.0
Creophilus maxillosus,0.0,0.0,0.0,9.0
Lathrobium elongatum,0.0,0.0,0.0,47.0
Philonthus micantoides,0.0,0.0,0.0,3.0
Xantholinus longiventris,0.0,0.0,0.0,10.0
Lathrobium pallidum,0.0,0.0,0.0,9.0
Sunius melanocephalus,0.0,0.0,0.0,23.0
Quedius molochinus,0.0,0.0,0.0,14.0
Gabrius trossulus,0.0,0.0,0.0,10.0
Heterothops dissimilis,0.0,0.0,0.0,7.0
Philonthus intermedius,0.0,0.0,0.0,14.0
Philonthus alpinus,0.0,0.0,0.0,4.0
Quedius picipes,0.0,0.0,0.0,12.0
Lathrobium impressum,0.0,0.0,0.0,54.0
Philonthus discoideus,0.0,0.0,0.0,19.0
Quedius nigriceps,0.0,0.0,0.0,9.0
Atrecus longiceps,0.0,0.0,0.0,5.0
Quedius curtipennis,0.0,0.0,0.0,7.0
Bisnius fimetarius,0.0,0.0,0.0,59.0
Lathrobium dilutum,0.0,0.0,0.0,2.0
micro avg,0.0,0.0,0.0,3331.0
